epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3657,1.09169,2.83534,1.58847,0.00896,0.97222,0.4746,0.26877,1.20192,2.97516,1.71959,0.000464992,0.000464992,0.000464992
2,35.3099,1.08071,1.94916,1.51736,0.65576,0.5554,0.6252,0.35645,1.37207,2.2919,2.04547,0.000848134,0.000848134,0.000848134
3,45.5763,1.08044,1.71702,1.52589,0.7174,0.73417,0.78846,0.55684,1.17077,1.63082,1.72044,0.00113696,0.00113696,0.00113696
4,55.1419,1.05253,1.55095,1.49764,0.8447,0.76218,0.83592,0.55905,1.18834,1.73811,1.76053,0.00100459,0.00100459,0.00100459
5,64.8846,1.01805,1.37806,1.45539,0.78138,0.71162,0.79249,0.51535,1.28261,1.4552,1.79964,0.000863116,0.000863116,0.000863116
6,74.7523,0.93616,1.22781,1.38195,0.74627,0.73375,0.83207,0.55912,1.26364,1.44873,1.75617,0.000721645,0.000721645,0.000721645
7,84.0091,0.9197,1.14276,1.3522,0.87345,0.84113,0.91502,0.65052,1.09998,1.02305,1.55359,0.000580174,0.000580174,0.000580174
8,92.4526,0.86918,1.03979,1.32045,0.91483,0.83333,0.90675,0.6311,1.1998,0.96114,1.68212,0.000438703,0.000438703,0.000438703
9,100.851,0.83224,0.97759,1.28805,0.86281,0.89723,0.92088,0.65169,1.1163,0.93746,1.56348,0.000297232,0.000297232,0.000297232
10,109.256,0.78499,0.89211,1.249,0.88409,0.89032,0.9246,0.68261,1.00091,0.89008,1.49435,0.000155761,0.000155761,0.000155761
